Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
21429516,WHS3_49,COUNTRY,IRL,YEAR,1999,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1999,1999-01-01,1999-12-31
21429517,WHS3_49,COUNTRY,IRL,YEAR,1998,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1998,1998-01-01,1998-12-31
21429518,WHS3_49,COUNTRY,IRL,YEAR,1997,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1997,1997-01-01,1997-12-31
21429519,WHS3_49,COUNTRY,IRL,YEAR,1996,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1996,1996-01-01,1996-12-31
21429520,WHS3_49,COUNTRY,IRL,YEAR,1995,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1995,1995-01-01,1995-12-31
21429521,WHS3_49,COUNTRY,IRL,YEAR,1994,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1994,1994-01-01,1994-12-31
21429522,WHS3_49,COUNTRY,IRL,YEAR,1993,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1993,1993-01-01,1993-12-31
21429523,WHS3_49,COUNTRY,IRL,YEAR,1992,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1992,1992-01-01,1992-12-31
21429524,WHS3_49,COUNTRY,IRL,YEAR,1991,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1991,1991-01-01,1991-12-31
21429525,WHS3_49,COUNTRY,IRL,YEAR,1990,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1990,1990-01-01,1990-12-31
21429526,WHS3_49,COUNTRY,IRL,YEAR,1989,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1989,1989-01-01,1989-12-31
21429527,WHS3_49,COUNTRY,IRL,YEAR,1988,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1988,1988-01-01,1988-12-31
21429528,WHS3_49,COUNTRY,IRL,YEAR,1987,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1987,1987-01-01,1987-12-31
21429529,WHS3_49,COUNTRY,IRL,YEAR,1986,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1986,1986-01-01,1986-12-31
21429530,WHS3_49,COUNTRY,IRL,YEAR,1985,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1985,1985-01-01,1985-12-31
21429531,WHS3_49,COUNTRY,IRL,YEAR,1984,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1984,1984-01-01,1984-12-31
21429532,WHS3_49,COUNTRY,IRL,YEAR,1983,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1983,1983-01-01,1983-12-31
21429533,WHS3_49,COUNTRY,IRL,YEAR,1982,,,,,,,,,1,1,,,,2019-09-11T08:28:26Z,1982,1982-01-01,1982-12-31
21429534,WHS3_49,COUNTRY,IRL,YEAR,1981,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,1981,1981-01-01,1981-12-31
21429535,WHS3_49,COUNTRY,IRL,YEAR,1980,,,,,,,,,1,1,,,,2019-09-11T08:28:26Z,1980,1980-01-01,1980-12-31
21429536,WHS3_49,COUNTRY,ISR,YEAR,2018,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2018,2018-01-01,2018-12-31
21429537,WHS3_49,COUNTRY,ISR,YEAR,2017,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2017,2017-01-01,2017-12-31
21429538,WHS3_49,COUNTRY,ISR,YEAR,2016,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2016,2016-01-01,2016-12-31
21429539,WHS3_49,COUNTRY,ISR,YEAR,2015,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2015,2015-01-01,2015-12-31
21429540,WHS3_49,COUNTRY,ISR,YEAR,2014,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2014,2014-01-01,2014-12-31
21429541,WHS3_49,COUNTRY,ISR,YEAR,2013,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2013,2013-01-01,2013-12-31
21429542,WHS3_49,COUNTRY,ISR,YEAR,2012,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2012,2012-01-01,2012-12-31
21429543,WHS3_49,COUNTRY,ISR,YEAR,2011,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2011,2011-01-01,2011-12-31
21429544,WHS3_49,COUNTRY,ISR,YEAR,2010,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2010,2010-01-01,2010-12-31
21429545,WHS3_49,COUNTRY,ISR,YEAR,2009,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2009,2009-01-01,2009-12-31
21429546,WHS3_49,COUNTRY,ISR,YEAR,2008,,,,,,,,,0,0,,,,2019-09-11T08:28:26Z,2008,2008-01-01,2008-12-31
