,AUT_SE.TER.ENRL,BGR_SE.TER.ENRL,BHR_SE.TER.ENRL,BRA_SE.TER.ENRL,BRN_SE.TER.ENRL,CAN_SE.TER.ENRL,CHE_SE.TER.ENRL,CHL_SE.TER.ENRL,COL_SE.TER.ENRL,CYP_SE.TER.ENRL,DNK_SE.TER.ENRL,ESP_SE.TER.ENRL,FIN_SE.TER.ENRL,GBR_SE.TER.ENRL,GRC_SE.TER.ENRL,IRL_SE.TER.ENRL,JAM_SE.TER.ENRL,JOR_SE.TER.ENRL,JPN_SE.TER.ENRL,KOR_SE.TER.ENRL,MLT_SE.TER.ENRL,MUS_SE.TER.ENRL,NGA_SE.TER.ENRL,NLD_SE.TER.ENRL,NOR_SE.TER.ENRL,PAN_SE.TER.ENRL,POL_SE.TER.ENRL,PRT_SE.TER.ENRL,SAU_SE.TER.ENRL,SGP_SE.TER.ENRL,SWE_SE.TER.ENRL,USA_SE.TER.ENRL,ZMB_SE.TER.ENRL
1970,,,,430473.0,,,,78430.0,85560.0,,,,,,,,,,,,2289.0,1975.0,,,,8947.0,,,,13771.0,,,1433.0
1971,59778.0,99596.0,289.0,569230.0,,,51426.0,101087.0,99262.0,698.0,76024.0,224904.0,59769.0,601300.0,85776.0,28501.0,6892.0,4518.0,1819323.0,201436.0,2405.0,1353.0,,231167.0,50047.0,15074.0,397897.0,50095.0,8492.0,13983.0,141218.0,8498117.0,
1972,66401.0,107296.0,312.0,696215.0,,,53595.0,127238.0,116709.0,810.0,86545.0,250387.0,61778.0,615800.0,85001.0,29517.0,7506.0,5138.0,1927322.0,214653.0,2746.0,1295.0,,247964.0,53598.0,18280.0,399060.0,53389.0,9471.0,15598.0,141367.0,8948645.0,
1973,73467.0,117103.0,352.0,785159.0,,,56534.0,146451.0,130682.0,921.0,96883.0,368299.0,63303.0,622100.0,91309.0,30020.0,8263.0,6604.0,1977176.0,230330.0,2571.0,1356.0,,,57914.0,21716.0,429646.0,55184.0,11337.0,16831.0,133168.0,9297787.0,
1974,78787.0,121798.0,612.0,954674.0,,,60329.0,145003.0,148613.0,849.0,103553.0,406398.0,67881.0,637086.0,97131.0,31737.0,8413.0,8186.0,2062161.0,250233.0,2114.0,1321.0,,,63838.0,24292.0,481295.0,59845.0,14882.0,18195.0,131614.0,9602123.0,4681.0
1975,84101.0,127319.0,669.0,1089808.0,,,62584.0,149647.0,176098.0,,105414.0,453389.0,71526.0,703645.0,111441.0,37897.0,,9302.0,2155893.0,273479.0,2397.0,1096.0,39562.0,264297.0,64582.0,26289.0,521899.0,64666.0,19773.0,22607.0,128879.0,10223729.0,8403.0
1976,96736.0,128593.0,703.0,1119849.0,,1079960.0,64720.0,134149.0,202437.0,,110271.0,540238.0,114272.0,732947.0,117246.0,46174.0,,11873.0,2248903.0,318683.0,2370.0,1408.0,44964.0,288026.0,66628.0,30473.0,575499.0,79702.0,26437.0,22969.0,162640.0,11184859.0,8783.0
1977,104525.0,129507.0,1226.0,1182411.0,331.0,,72375.0,131793.0,237477.0,,110637.0,581064.0,119274.0,750180.0,122833.0,46515.0,12285.0,16420.0,2301444.0,345679.0,2463.0,1531.0,58953.0,305150.0,73320.0,34720.0,613842.0,95841.0,32729.0,24053.0,171181.0,11012137.0,7053.0
1978,110948.0,142644.0,1207.0,1251116.0,,,74730.0,130982.0,253547.0,1097.0,117656.0,662812.0,122427.0,760085.0,117892.0,46603.0,,17219.0,2436862.0,385699.0,2299.0,1393.0,68382.0,320501.0,72999.0,34302.0,622631.0,85360.0,43897.0,24114.0,190105.0,11285787.0,7308.0
1979,118672.0,117028.0,1069.0,1340662.0,436.0,,78120.0,127349.0,267885.0,1455.0,104978.0,630463.0,122825.0,783342.0,120644.0,47254.0,,20383.0,2432052.0,444009.0,1592.0,1213.0,97530.0,328968.0,75720.0,37031.0,626289.0,92149.0,47242.0,21022.0,198798.0,11260092.0,7340.0
