,AUT_NY.ADJ.NNTY.PC.CD,BGR_NY.ADJ.NNTY.PC.CD,BHR_NY.ADJ.NNTY.PC.CD,BRA_NY.ADJ.NNTY.PC.CD,BRN_NY.ADJ.NNTY.PC.CD,CAN_NY.ADJ.NNTY.PC.CD,CHE_NY.ADJ.NNTY.PC.CD,CHL_NY.ADJ.NNTY.PC.CD,COL_NY.ADJ.NNTY.PC.CD,CYP_NY.ADJ.NNTY.PC.CD,DNK_NY.ADJ.NNTY.PC.CD,ESP_NY.ADJ.NNTY.PC.CD,FIN_NY.ADJ.NNTY.PC.CD,GBR_NY.ADJ.NNTY.PC.CD,GRC_NY.ADJ.NNTY.PC.CD,IRL_NY.ADJ.NNTY.PC.CD,JAM_NY.ADJ.NNTY.PC.CD,JOR_NY.ADJ.NNTY.PC.CD,JPN_NY.ADJ.NNTY.PC.CD,KOR_NY.ADJ.NNTY.PC.CD,MUS_NY.ADJ.NNTY.PC.CD,NGA_NY.ADJ.NNTY.PC.CD,NLD_NY.ADJ.NNTY.PC.CD,NOR_NY.ADJ.NNTY.PC.CD,PAN_NY.ADJ.NNTY.PC.CD,POL_NY.ADJ.NNTY.PC.CD,PRT_NY.ADJ.NNTY.PC.CD,SAU_NY.ADJ.NNTY.PC.CD,SGP_NY.ADJ.NNTY.PC.CD,SWE_NY.ADJ.NNTY.PC.CD,USA_NY.ADJ.NNTY.PC.CD,ZMB_NY.ADJ.NNTY.PC.CD
1970,1761.3835796701017,,,392.5258978671696,,3414.622293799428,,788.8913188560591,285.9907850589866,,2941.138469033815,1055.2021734085356,2137.893208752367,2267.450039832439,,1443.5987973722613,,,1692.6623224612051,,,198.2394709380819,2561.716875421033,2758.579457478231,,,772.1436102338306,633.9892277062148,,4162.113913377702,4553.443166460722,
1971,2033.9707612795685,,,447.41733918942566,,3758.307737787524,,954.3333973310636,304.8032190640251,,3252.1398490355878,1189.4975460728997,2331.7772914142815,2534.270486506253,,1649.947031366157,664.7208373652951,405.1062821343191,1864.8893891953696,283.3312642891825,,137.1661224097903,2923.6585069787807,3144.5669753713196,808.6955531087019,,877.4602943642775,771.9656907285429,996.4637156350892,4508.968476240521,4862.801956846736,260.39959710377167
1972,2497.4177910863327,,,520.7526661674726,,4257.451046059896,,1036.6535867242342,331.91985215074584,,3942.828333184116,1505.1881796221348,2722.30618231796,2881.7077382367975,,2015.1180341784877,844.5449492235887,451.26445647211,2425.5503297118803,302.6492782254989,,175.1543762992929,3554.264198072542,3707.46991110126,862.9298655003663,,1072.6285622510813,892.8991994280902,1167.499533797863,5296.0444986603425,5308.05914620474,283.20179599622287
1973,3332.0987124018025,,,682.4441208073379,,4839.689667577622,,1396.6197307770433,390.62966391905087,,5290.0657543958505,1990.843887341291,3559.93521723547,3246.470747077042,,2324.6366754864016,843.6051321954177,524.9414654070863,3263.7910951344443,376.6693096134759,,209.10756552585144,4704.223712255924,4797.596350152401,961.354341707515,,1471.451208423637,1172.829197481635,1515.5101403686774,6413.205134213928,5879.222097426112,271.6922792604027
1974,3957.5241919228856,,,880.8935936845738,,5712.946183043787,,1272.0009998557016,451.59535231085897,,5744.762413595216,2433.784879188892,4481.946422893381,3456.50728022862,,2393.770754039407,1064.0901835877826,643.2804086894009,3583.745727475881,523.0974979412126,,279.2710848459409,5435.491263836134,5678.386894777929,1065.8630148211544,,1708.259653589255,3611.433642663666,2061.2244389216025,7050.944973378873,6121.83549416457,410.99983694234834
1975,4500.816851609607,,,997.0664122414415,,6148.6250438164,,541.4709876546589,468.0799618668451,,6809.614872649017,2816.383117839918,5229.751761255285,4064.554993062331,,2852.4103175476134,1243.6174572654852,714.48777279101,3877.4824270215468,564.8901225294945,,339.12081377508713,6220.91155803545,6798.644497458946,1184.9625449204152,,1780.0074723807084,4358.568846685945,2260.6321058738354,8849.708765193336,6530.8890966121235,362.3496439191876
1976,4855.45655602095,,,1200.0902861991603,,7231.924597487366,,741.6890784143019,543.3622176497413,1024.72302246094,7554.941406407371,2866.9057536008268,5605.9921767141295,3891.152906131022,,2759.33048277551,1210.7025294110183,852.1968427592653,4339.494095388393,766.1008479399947,751.0317503285446,433.61418402617204,6788.336003896513,7272.30463722013,1200.8730922686318,,1837.2953612568447,5868.3472208730855,2428.7319407564473,9468.32595677854,7209.041869388264,353.9225715799642
1977,5800.345868996318,,,1344.0068204419829,,7288.63141217861,,1041.5226975214728,691.2997851344093,1332.72424316406,8443.385054354094,3168.4895124615887,5796.104265800727,4308.658951144235,,3185.6288241094694,1294.551745410202,1019.2884959440925,5295.6492715120485,968.7346219690022,852.4732521954234,409.07221865920764,7873.759204090231,8224.04511752251,1423.1546929999902,,1911.4470511816767,6296.303325208107,2468.127727284299,9859.674543992152,7948.156400624957,334.82518950037377
1978,6956.923371742557,,,1484.2845289306808,,7439.3067452061805,,1182.3360705109149,817.6476703148642,1734.13745117188,10249.318595233735,3806.5749059922805,6254.733547947008,5473.196929265813,,3975.9034134836743,1003.9162467487678,1226.8911253697252,7402.388027704011,1302.210937711421,1031.1084127400286,422.0134750401103,9520.870003654074,8994.209711682593,1655.5978195878836,,2018.2061485009913,6631.886496434301,2788.21155995062,10825.374688420801,8893.574277888492,377.9835085092653
1979,8311.172614664163,,,1621.2764953502215,,7922.762840930851,,1593.2839148907085,952.1911987040039,2287.0849609375,11791.965105767726,5025.9214753061,7740.970612949028,6967.861661784334,,4862.0161709196,883.4600215883722,1493.1236409006874,7612.651540516421,1633.3230320397543,1193.931190067871,405.6268342911417,10810.745531892606,9962.592253642428,1822.9071431682894,,2272.583558503333,6069.3443800462655,3402.3574070847535,12757.26197956974,9517.841073206593,409.3557598158626
